product_id,productName,cost,productURL
1000051,Pure Cotton Denim Shacket,1600,https://www.ajio.com/marks--spencer-pure-cotton-denim-relaxed-shacket/p/469619128_ecru?srsltid=AfmBOoqtygKE4eBliLCwLZnbNQTzsg3XZc_Sy3a-BvNXCMgFcG0QuQ1y1gQ#gmf
1000052,Women Crop Tailored Cotton Jacket,1149,https://www.myntra.com/jackets/fabindia/fabindia-women-crop-tailored-cotton-jacket/21041098/buy
1000053,Bottle Green Kantha Embroidered Organic Cotton Quilted Jacket,5299,https://theloom.in/bottle-green-kantha-embroidered-organic-cotton-quilted-jacket-jcza272-zana2
1000054,Alan Jones Clothing Women Polyester Fluffy Yarn Fleece Full-Zip Standard Length Jacket,799,https://www.amazon.in/Alan-Jones-Clothing-Fluffy-Full-Zip/dp/B0CN3JDPQK?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1G9CEWVFE2WQQ
1000055,Women Floral Polyester Tailored Jacket,1999,https://www.myntra.com/jackets/max/max-women-floral-polyester-tailored-jacket/31473460/buy
1000056,ECOLINE Clothing Eco-Friendly Women's Poly Filament Sporty Jacket,669,https://www.amazon.in/Ecoline-Clothing-Eco-Friendly-Womens-Filament/dp/B08M6FMZ45?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1Y1ZYVIKCB3JL
1000057,Women Pink Solid Bomber Jacket,824,https://www.myntra.com/jackets/mast+%26+harbour/mast--harbour-women-pink-solid-bomber-jacket/14364050/buy
1000058,Tencel Anti-Odor Plus Size Hooded Jacket,2549,https://www.myntra.com/jackets/fitkin/fitkin-tencel-anti-odor-plus-size-hooded-jacket/26299524/buy
1000059,Dark blue digital printed Tencel floral jacket MSG165,3499,https://mosegi.in/products/floral-printed-jacket?variant=41740935692448&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooFvfYpoiY9YSynKsfF21_85yvPdl78xy-8ffolvFzp2nW6k4fs0Lw
1000060,High Neck Bomber Jacket,1190,https://www.marksandspencer.in/tencel%E2%84%A2-high-neck-bomber-jacket/p/P60440581.html?srsltid=AfmBOoqH5ptxQ4z1pAG87s0Cfj7tzNMWd16ES_7X1XDsZpiwsfMnBFiVDOY
